Dataset,Method,Mean,CI95
React,TarReduce(LZ4),821.43,70.07
React,TarReduce(deflate),345.04,14.89
React,Depth1,118.04,6.33
React,Depth50,44.55,3.49
Netty,TarReduce(LZ4),690.38,10.30
Netty,TarReduce(deflate),297.87,1.11
Netty,Depth1,140.78,5.28
Netty,Depth50,52.66,3.53
Cpython,TarReduce(LZ4),563.48,85.15
Cpython,TarReduce(deflate),260.40,18.93
Cpython,Depth1,203.97,14.98
Cpython,Depth50,65.89,5.14
Automake,TarReduce(LZ4),519.70,12.11
Automake,TarReduce(deflate),217.84,2.49
Automake,Depth1,43.02,2.12
Automake,Depth50,26.41,1.52
Coreutils,TarReduce(LZ4),717.53,27.79
Coreutils,TarReduce(deflate),320.23,11.48
Coreutils,Depth1,85.04,8.12
Coreutils,Depth50,37.78,3.82
GCC,TarReduce(LZ4),391.84,56.59
GCC,TarReduce(deflate),184.91,15.72
GCC,Depth1,115.33,5.49
GCC,Depth50,35.15,2.33
Linux,TarReduce(LZ4),199.82,28.99
Linux,TarReduce(deflate),130.38,6.89
Linux,Depth1,83.82,1.98
Linux,Depth50,54.86,2.75
WEB,TarReduce(LZ4),160.02,12.27
WEB,TarReduce(deflate),122.23,5.14
WEB,Depth1,155.55,12.90
WEB,Depth50,114.76,5.83
